id,product,sku,warehouse,quantity,reorder_level,status,updated_at
303,Financial Indigo,SKU-100303,Main Warehouse,1663,258,Discontinued,2022-11-15T17:01:28
304,Policy LightYellow,SKU-100304,Main Warehouse,1413,453,Available,2024-11-11T09:30:08
305,My LightYellow,SKU-100305,Main Warehouse,980,213,Low Stock,2025-09-05T15:04:15
306,Hospital Crimson,SKU-100306,WH-B,837,484,Low Stock,2025-05-10T08:53:47
307,Move LightGray,SKU-100307,Main Warehouse,1115,279,Backordered,2024-01-11T00:25:14
308,Century MediumPurple,SKU-100308,WH-A,179,383,Discontinued,2025-01-11T11:16:51
309,Exist DarkTurquoise,SKU-100309,WH-B,941,483,Discontinued,2024-10-31T05:01:09
310,Form Teal,SKU-100310,WH-B,1212,91,Low Stock,2023-04-28T20:28:26
311,Rule LightGray,SKU-100311,Main Warehouse,885,232,Discontinued,2025-05-24T04:12:41
312,Bring DarkMagenta,SKU-100312,WH-A,1167,368,Low Stock,2024-11-15T23:41:54
313,Small Crimson,SKU-100313,Main Warehouse,1318,213,Available,2024-03-10T12:36:37
314,Partner Khaki,SKU-100314,Main Warehouse,1673,176,Low Stock,2025-01-24T22:15:32
315,National SteelBlue,SKU-100315,WH-B,1127,479,Available,2024-07-13T01:46:47
316,Eye PaleTurquoise,SKU-100316,Main Warehouse,596,307,Low Stock,2024-07-13T10:31:24
317,Economic Pink,SKU-100317,WH-C,1158,284,Available,2025-08-28T17:45:17
318,Idea ForestGreen,SKU-100318,WH-B,662,184,Discontinued,2023-09-20T06:23:45
319,Officer MediumTurquoise,SKU-100319,Main Warehouse,952,87,Discontinued,2023-11-02T09:49:44
320,Which Lime,SKU-100320,WH-C,1995,318,Discontinued,2023-01-08T01:28:40
321,City Cyan,SKU-100321,Main Warehouse,606,22,Low Stock,2025-03-11T12:12:51
322,Memory LawnGreen,SKU-100322,WH-C,1965,389,Available,2024-11-20T02:23:47
323,Language HotPink,SKU-100323,WH-C,60,483,Available,2024-03-26T18:08:55
324,Act DarkSeaGreen,SKU-100324,WH-C,255,405,Discontinued,2023-11-25T05:10:06
325,Like Cornsilk,SKU-100325,WH-A,1826,494,Discontinued,2024-12-12T06:35:01
326,Step FireBrick,SKU-100326,WH-C,988,292,Low Stock,2023-03-18T03:28:24
327,Light LightSlateGray,SKU-100327,WH-A,1952,431,Low Stock,2024-04-27T07:30:53
328,Despite HoneyDew,SKU-100328,WH-C,1776,212,Backordered,2023-04-04T15:15:15
329,Eye MintCream,SKU-100329,WH-A,1094,282,Discontinued,2023-11-14T12:11:05
330,Cover DarkCyan,SKU-100330,WH-A,1327,68,Backordered,2024-05-11T08:22:31
331,Note BlueViolet,SKU-100331,Main Warehouse,80,38,Backordered,2025-02-16T15:05:19
332,Benefit LightYellow,SKU-100332,WH-A,8,377,Low Stock,2025-02-26T00:35:37
333,Yard HoneyDew,SKU-100333,WH-C,552,314,Low Stock,2023-08-01T10:15:15
334,Area DarkViolet,SKU-100334,Main Warehouse,1149,437,Discontinued,2025-04-14T17:35:52
335,World Olive,SKU-100335,WH-C,1309,247,Available,2025-06-13T23:43:48
336,Manager SteelBlue,SKU-100336,WH-B,1315,18,Low Stock,2024-02-27T12:48:49
337,Cost PaleVioletRed,SKU-100337,WH-B,36,73,Available,2022-12-05T06:00:32
338,Plant Blue,SKU-100338,WH-B,696,334,Available,2024-07-05T18:56:56
339,Coach AntiqueWhite,SKU-100339,WH-A,1318,269,Discontinued,2023-03-28T07:44:42
340,Today Khaki,SKU-100340,WH-A,1010,150,Low Stock,2023-09-03T16:04:19
341,Rock MintCream,SKU-100341,WH-A,822,348,Backordered,2024-09-22T15:03:25
342,Like MediumOrchid,SKU-100342,WH-B,371,92,Low Stock,2023-02-03T23:16:24
343,Right DarkGoldenRod,SKU-100343,WH-B,835,319,Low Stock,2024-07-11T03:56:25
344,Fight LightBlue,SKU-100344,WH-A,1298,297,Available,2024-08-02T19:36:12
345,Pass LawnGreen,SKU-100345,Main Warehouse,344,463,Available,2025-04-13T22:37:05
346,She Fuchsia,SKU-100346,WH-A,1602,497,Discontinued,2024-07-09T06:16:31
347,Office MediumSeaGreen,SKU-100347,WH-B,40,491,Low Stock,2025-08-24T00:06:46
348,Ready FloralWhite,SKU-100348,WH-C,1608,98,Discontinued,2023-09-12T22:13:49
349,Floor LightBlue,SKU-100349,Main Warehouse,284,142,Discontinued,2025-09-14T21:05:38
350,Arrive Aquamarine,SKU-100350,WH-C,489,250,Backordered,2025-02-25T05:18:45
351,Stand Salmon,SKU-100351,WH-A,1428,424,Backordered,2023-11-17T03:46:46
352,Ball DarkSeaGreen,SKU-100352,Main Warehouse,1810,410,Available,2024-12-31T06:26:39
353,Answer SeaGreen,SKU-100353,WH-C,624,210,Backordered,2023-06-18T22:29:47
354,Their Silver,SKU-100354,Main Warehouse,1389,407,Discontinued,2023-03-17T22:22:58
355,Staff Plum,SKU-100355,WH-C,101,378,Discontinued,2025-02-20T02:44:31
356,Such LightBlue,SKU-100356,Main Warehouse,1615,116,Backordered,2024-05-06T22:46:52
357,Appear DeepPink,SKU-100357,WH-C,518,491,Backordered,2025-06-25T17:09:55
358,Thus SeaGreen,SKU-100358,WH-B,520,179,Available,2023-02-12T19:12:31
359,Laugh SpringGreen,SKU-100359,WH-C,779,345,Discontinued,2023-03-18T03:00:51
360,Source LightSkyBlue,SKU-100360,Main Warehouse,724,484,Low Stock,2023-12-05T13:29:54
361,Wrong Magenta,SKU-100361,WH-C,1037,111,Backordered,2025-08-10T11:28:01
362,Professor MediumOrchid,SKU-100362,WH-B,1354,491,Backordered,2025-08-08T00:33:20
363,Same MistyRose,SKU-100363,Main Warehouse,1290,91,Discontinued,2022-12-06T22:56:35
364,Rich NavajoWhite,SKU-100364,Main Warehouse,442,232,Discontinued,2024-07-16T04:34:48
365,Campaign Sienna,SKU-100365,WH-C,1060,170,Low Stock,2022-11-26T13:17:58
366,Him PeachPuff,SKU-100366,WH-B,60,450,Discontinued,2023-12-04T10:14:42
367,Ability PaleGreen,SKU-100367,Main Warehouse,747,278,Discontinued,2024-12-24T01:57:12
368,Rather FireBrick,SKU-100368,WH-A,1892,270,Backordered,2024-12-25T07:33:02
369,Section OldLace,SKU-100369,WH-B,325,405,Discontinued,2024-10-13T17:27:03
370,Along Chartreuse,SKU-100370,WH-B,1345,434,Backordered,2024-06-19T00:32:02
371,Understand DarkViolet,SKU-100371,WH-C,499,456,Discontinued,2024-08-15T15:33:56
372,Room Gray,SKU-100372,WH-C,1774,284,Available,2024-05-21T22:22:44
373,Imagine CadetBlue,SKU-100373,WH-C,48,400,Backordered,2023-04-01T00:46:37
374,Think LightBlue,SKU-100374,WH-C,1637,40,Backordered,2022-11-25T14:36:32
375,Our PowderBlue,SKU-100375,WH-A,1220,99,Backordered,2024-02-12T16:24:04
376,Interesting RoyalBlue,SKU-100376,Main Warehouse,949,94,Available,2025-03-23T10:12:30
377,Respond Thistle,SKU-100377,WH-A,937,110,Backordered,2024-11-07T22:10:32
378,Final DeepPink,SKU-100378,WH-B,1879,398,Low Stock,2023-06-09T13:31:31
379,Feeling FloralWhite,SKU-100379,WH-A,1427,249,Discontinued,2023-12-24T16:10:27
380,Student Fuchsia,SKU-100380,WH-B,1873,388,Discontinued,2024-04-29T23:25:54
381,Doctor LightCyan,SKU-100381,WH-B,1729,312,Backordered,2025-01-01T20:39:01
382,Including Peru,SKU-100382,WH-C,1300,413,Backordered,2025-04-28T18:28:22
383,Public RosyBrown,SKU-100383,WH-A,494,297,Available,2025-03-07T04:33:37
384,Because DarkMagenta,SKU-100384,WH-A,863,80,Backordered,2025-03-13T18:25:41
385,Member MidnightBlue,SKU-100385,WH-C,225,191,Available,2023-01-26T18:24:36
386,Office DarkOrange,SKU-100386,WH-B,1411,366,Available,2025-07-08T21:54:49
387,Inside SeaShell,SKU-100387,WH-C,703,21,Low Stock,2024-10-15T22:37:45
388,Success MidnightBlue,SKU-100388,WH-A,638,117,Backordered,2023-03-28T16:50:47
389,Wait Gold,SKU-100389,WH-B,1811,43,Low Stock,2023-09-01T01:25:59
390,Cost LightGoldenRodYellow,SKU-100390,Main Warehouse,1221,145,Low Stock,2024-03-23T11:27:38
391,Worry HotPink,SKU-100391,WH-B,1537,261,Backordered,2025-06-20T10:50:59
392,Vote MediumOrchid,SKU-100392,WH-B,161,418,Available,2023-09-11T11:34:20
393,Through IndianRed,SKU-100393,WH-A,291,132,Backordered,2025-10-27T19:13:41
394,Common DarkGoldenRod,SKU-100394,WH-A,562,454,Low Stock,2023-07-16T11:10:32
395,Power DarkOrange,SKU-100395,Main Warehouse,733,104,Discontinued,2025-07-22T15:47:56
396,Pick Yellow,SKU-100396,WH-C,305,292,Discontinued,2025-07-05T10:52:52
397,Benefit LightBlue,SKU-100397,Main Warehouse,1855,103,Backordered,2025-02-19T17:56:09
398,Group DarkSlateBlue,SKU-100398,WH-A,1417,36,Backordered,2024-05-05T05:38:13
399,View NavajoWhite,SKU-100399,Main Warehouse,457,280,Low Stock,2023-02-20T12:58:49
400,Support CornflowerBlue,SKU-100400,WH-C,713,159,Backordered,2024-08-23T10:51:29
401,Represent BlueViolet,SKU-100401,WH-A,531,333,Discontinued,2024-09-26T09:54:12
402,Spring PaleVioletRed,SKU-100402,WH-A,1634,319,Available,2023-12-03T18:01:56
403,Mean Cyan,SKU-100403,WH-B,663,58,Available,2024-09-28T18:09:22
404,Current LavenderBlush,SKU-100404,Main Warehouse,1363,471,Backordered,2023-05-17T14:14:30
405,White LightBlue,SKU-100405,WH-C,1697,193,Backordered,2024-07-10T08:56:40
406,More MistyRose,SKU-100406,WH-B,1410,242,Available,2023-04-24T06:41:54
407,Set MediumSeaGreen,SKU-100407,Main Warehouse,277,252,Low Stock,2023-03-16T00:56:44
408,Itself LightYellow,SKU-100408,WH-A,851,243,Low Stock,2025-05-16T18:52:05
409,Remain DarkTurquoise,SKU-100409,WH-B,905,138,Discontinued,2022-11-06T10:45:58
410,Call CadetBlue,SKU-100410,WH-A,1727,81,Available,2024-01-05T20:52:27
411,President DarkOrange,SKU-100411,WH-C,1700,253,Backordered,2025-09-17T05:22:45
412,Character Coral,SKU-100412,Main Warehouse,1472,379,Low Stock,2023-02-01T03:51:06
413,Expect LightPink,SKU-100413,Main Warehouse,527,462,Available,2024-12-15T17:16:19
414,I YellowGreen,SKU-100414,WH-B,1542,227,Available,2023-09-07T18:59:03
415,Never MediumSlateBlue,SKU-100415,WH-C,1076,70,Discontinued,2025-03-02T15:32:17
416,Argue MediumOrchid,SKU-100416,Main Warehouse,327,17,Available,2025-04-07T15:05:25
417,Arm Lavender,SKU-100417,Main Warehouse,1169,129,Available,2023-10-22T02:34:05
418,Such LimeGreen,SKU-100418,Main Warehouse,492,20,Low Stock,2023-05-29T15:41:38
419,Me Cornsilk,SKU-100419,WH-C,1945,47,Discontinued,2022-12-05T18:57:57
420,Himself BurlyWood,SKU-100420,Main Warehouse,1927,40,Backordered,2025-05-07T14:43:21
421,Animal White,SKU-100421,WH-C,66,374,Backordered,2025-06-01T11:30:31
422,Left DarkRed,SKU-100422,WH-B,1879,430,Low Stock,2024-10-12T21:41:35
423,Author Green,SKU-100423,Main Warehouse,902,126,Available,2025-08-24T00:35:41
424,Girl PaleVioletRed,SKU-100424,WH-B,1950,399,Low Stock,2025-09-01T20:28:00
425,Citizen SlateGray,SKU-100425,WH-C,1600,127,Available,2024-04-02T06:08:19
426,Find DodgerBlue,SKU-100426,WH-C,1028,186,Available,2023-11-26T20:36:43
427,Receive GreenYellow,SKU-100427,WH-C,1331,87,Available,2023-02-24T21:07:39
428,Usually PaleGreen,SKU-100428,WH-B,756,321,Low Stock,2023-11-24T06:31:58
429,Charge MediumOrchid,SKU-100429,Main Warehouse,609,197,Available,2023-12-12T23:32:07
430,Simple Chartreuse,SKU-100430,WH-B,1132,99,Low Stock,2024-01-17T18:28:39
431,Debate OliveDrab,SKU-100431,WH-A,504,140,Low Stock,2024-05-26T18:30:52
432,Bit DarkGray,SKU-100432,Main Warehouse,740,402,Backordered,2025-07-25T15:30:07
433,Community LightBlue,SKU-100433,Main Warehouse,775,248,Low Stock,2024-12-21T22:52:08
434,World Salmon,SKU-100434,WH-A,225,377,Backordered,2022-12-30T13:59:04
435,Available MintCream,SKU-100435,WH-C,1209,22,Backordered,2022-12-15T08:35:37
436,Continue LightCoral,SKU-100436,WH-C,397,468,Available,2023-10-09T03:04:08
437,Find BlanchedAlmond,SKU-100437,WH-B,1324,163,Low Stock,2024-08-03T18:48:27
438,Live RosyBrown,SKU-100438,Main Warehouse,1808,324,Backordered,2025-06-21T11:51:10
439,Total Coral,SKU-100439,WH-B,1874,417,Available,2025-03-16T14:00:35
440,There Maroon,SKU-100440,WH-A,1404,344,Low Stock,2023-12-15T09:58:53
441,Either YellowGreen,SKU-100441,Main Warehouse,990,70,Available,2025-09-26T11:39:29
442,Score DarkGoldenRod,SKU-100442,WH-C,32,218,Low Stock,2025-07-12T17:24:14
443,Baby MediumVioletRed,SKU-100443,WH-A,1942,354,Discontinued,2022-12-16T00:23:58
444,Maybe LightSteelBlue,SKU-100444,WH-B,798,472,Backordered,2023-08-16T18:38:17
445,Amount Cornsilk,SKU-100445,WH-A,1863,241,Low Stock,2023-11-29T06:30:44
446,Best PeachPuff,SKU-100446,WH-B,1042,67,Discontinued,2024-06-03T06:33:09
447,Carry GoldenRod,SKU-100447,WH-B,1403,324,Available,2024-08-21T15:17:22
448,Seem OldLace,SKU-100448,WH-A,1497,267,Discontinued,2023-11-07T01:50:15
449,Adult LightYellow,SKU-100449,WH-B,1679,326,Low Stock,2024-10-01T07:00:19
450,Include Indigo,SKU-100450,WH-B,200,313,Low Stock,2025-07-11T05:48:31
451,End WhiteSmoke,SKU-100451,Main Warehouse,1161,470,Available,2024-03-04T02:08:37
452,Office LavenderBlush,SKU-100452,WH-C,906,121,Discontinued,2025-10-29T06:38:51
453,Establish Beige,SKU-100453,Main Warehouse,1593,257,Available,2024-11-02T21:56:39
454,Girl Olive,SKU-100454,WH-A,735,80,Discontinued,2024-06-25T20:23:55
455,Building Lavender,SKU-100455,Main Warehouse,2,236,Backordered,2025-09-24T01:43:58
456,Bit Gold,SKU-100456,WH-C,1741,314,Available,2024-11-05T07:37:57
457,Natural LimeGreen,SKU-100457,WH-C,1768,110,Available,2023-11-05T10:32:24
458,Crime PaleGreen,SKU-100458,WH-C,561,172,Available,2023-01-22T17:48:33
459,Argue HotPink,SKU-100459,WH-A,1656,100,Available,2024-01-09T10:00:54
460,Chair Gainsboro,SKU-100460,WH-B,1589,340,Discontinued,2025-02-17T12:41:23
461,Include DarkBlue,SKU-100461,WH-B,1147,263,Available,2023-12-12T15:33:04
462,Person FireBrick,SKU-100462,WH-B,1525,491,Backordered,2025-04-20T06:26:41
463,Away Purple,SKU-100463,WH-C,1803,38,Low Stock,2024-05-03T13:13:15
464,Commercial YellowGreen,SKU-100464,WH-C,1030,214,Discontinued,2025-04-19T13:15:37
465,Lay Orchid,SKU-100465,Main Warehouse,96,131,Available,2023-03-11T16:35:09
466,Set SteelBlue,SKU-100466,WH-C,17,319,Low Stock,2024-05-23T17:24:14
467,Score Chocolate,SKU-100467,WH-C,835,360,Discontinued,2023-08-11T03:27:05
468,Nice Red,SKU-100468,WH-C,609,330,Available,2022-11-23T11:55:15
469,Day Green,SKU-100469,WH-B,491,413,Discontinued,2024-12-15T16:52:15
470,Discover PeachPuff,SKU-100470,WH-A,91,48,Low Stock,2023-09-13T11:05:15
471,Item MediumAquaMarine,SKU-100471,WH-B,914,98,Available,2023-06-16T18:58:54
472,Sense MidnightBlue,SKU-100472,WH-A,1784,394,Backordered,2025-05-25T15:01:45
473,Fear Peru,SKU-100473,WH-A,499,135,Backordered,2025-06-24T13:03:30
474,Leader Brown,SKU-100474,Main Warehouse,123,61,Backordered,2023-11-15T09:41:10
475,Deep DarkGreen,SKU-100475,WH-B,304,11,Available,2023-12-12T06:37:19
476,Anything LightPink,SKU-100476,WH-B,1096,346,Low Stock,2025-07-11T20:59:17
477,Few Blue,SKU-100477,WH-C,1630,130,Low Stock,2023-11-11T03:01:29
478,Idea Tomato,SKU-100478,WH-A,1578,291,Low Stock,2024-01-07T18:13:43
479,Blue ForestGreen,SKU-100479,WH-A,1805,395,Discontinued,2023-10-29T06:23:58
480,Fine Gray,SKU-100480,WH-A,1482,409,Discontinued,2025-02-20T02:14:50
481,Happy Peru,SKU-100481,WH-B,850,440,Available,2025-08-24T02:25:37
482,Public LawnGreen,SKU-100482,WH-B,1100,299,Available,2025-09-11T19:29:36
483,Painting BlanchedAlmond,SKU-100483,Main Warehouse,502,387,Discontinued,2024-10-28T20:01:30
484,Give DeepPink,SKU-100484,WH-A,954,393,Backordered,2024-03-11T22:32:27
485,Account Ivory,SKU-100485,Main Warehouse,877,256,Low Stock,2024-11-23T17:10:00
486,Modern Snow,SKU-100486,WH-A,87,21,Backordered,2024-07-30T15:21:19
487,Try MediumSeaGreen,SKU-100487,WH-B,165,141,Available,2025-02-19T18:46:26
488,Garden AntiqueWhite,SKU-100488,WH-A,1979,252,Available,2025-08-14T02:06:04
489,Drive LemonChiffon,SKU-100489,Main Warehouse,233,232,Low Stock,2024-06-08T09:32:31
490,Knowledge PaleGoldenRod,SKU-100490,WH-C,1148,196,Available,2024-03-06T12:50:20
491,Design White,SKU-100491,WH-C,213,102,Low Stock,2024-01-03T22:11:08
492,Eye GhostWhite,SKU-100492,Main Warehouse,13,280,Backordered,2025-08-01T21:56:32
493,Value Peru,SKU-100493,WH-A,1566,66,Available,2025-07-15T23:57:48
494,Professor DarkSlateGray,SKU-100494,WH-C,1635,339,Backordered,2025-09-09T09:15:49
495,Base MediumSlateBlue,SKU-100495,WH-C,531,488,Backordered,2024-01-06T20:37:57
496,End MediumSeaGreen,SKU-100496,Main Warehouse,1240,251,Low Stock,2023-10-20T04:48:13
497,Arm Linen,SKU-100497,Main Warehouse,704,183,Discontinued,2023-05-10T13:25:25
498,Mother SteelBlue,SKU-100498,WH-A,1228,105,Discontinued,2024-12-01T07:14:14
499,Ball DarkOrchid,SKU-100499,Main Warehouse,1020,50,Low Stock,2025-08-27T10:27:35
500,Like BurlyWood,SKU-100500,Main Warehouse,913,385,Available,2023-07-29T11:38:43
501,Deep Gold,SKU-100501,Main Warehouse,1536,82,Discontinued,2025-05-06T10:40:25
502,Rule ForestGreen,SKU-100502,WH-B,1197,191,Discontinued,2023-03-02T23:05:19
503,Oil MediumTurquoise,SKU-100503,WH-A,275,389,Discontinued,2023-10-03T14:30:41
504,Market Blue,SKU-100504,Main Warehouse,1891,407,Discontinued,2023-11-21T13:45:09
505,Across SlateBlue,SKU-100505,WH-B,1925,22,Backordered,2024-02-08T18:23:06
506,Town DimGray,SKU-100506,WH-C,1012,116,Discontinued,2024-10-27T00:07:30
507,Structure ForestGreen,SKU-100507,WH-A,400,288,Discontinued,2025-10-02T07:15:06
508,Third ForestGreen,SKU-100508,WH-C,1685,33,Low Stock,2025-03-18T17:58:13
509,Movie Azure,SKU-100509,WH-B,445,361,Backordered,2025-05-31T01:47:17
510,Production PaleGreen,SKU-100510,Main Warehouse,1968,45,Backordered,2025-07-10T13:05:36
511,Nice Brown,SKU-100511,WH-C,1612,210,Discontinued,2024-12-13T20:24:04
512,You MidnightBlue,SKU-100512,WH-B,1012,227,Low Stock,2025-04-09T21:09:54
513,Current Turquoise,SKU-100513,WH-B,1,161,Available,2023-11-01T14:35:37
514,Power DarkSalmon,SKU-100514,WH-A,1649,244,Discontinued,2024-07-14T00:04:38
515,Despite Gainsboro,SKU-100515,WH-A,1401,162,Low Stock,2024-04-02T12:37:31
516,Actually LightBlue,SKU-100516,WH-A,767,105,Backordered,2025-03-13T00:27:11
517,True Orchid,SKU-100517,WH-B,230,317,Discontinued,2025-02-09T21:59:37
518,Raise DarkSlateGray,SKU-100518,Main Warehouse,424,464,Discontinued,2024-09-26T09:09:25
519,I Beige,SKU-100519,WH-C,981,23,Backordered,2025-05-31T07:12:50
520,Either SteelBlue,SKU-100520,Main Warehouse,641,203,Discontinued,2022-11-20T08:42:39
521,Draw LightSlateGray,SKU-100521,Main Warehouse,1898,21,Low Stock,2025-04-24T19:16:04
522,Month Maroon,SKU-100522,Main Warehouse,1128,296,Low Stock,2023-05-18T21:26:09
523,Among Navy,SKU-100523,WH-A,57,152,Low Stock,2024-10-19T09:42:31
524,Dark PowderBlue,SKU-100524,Main Warehouse,1398,318,Low Stock,2023-12-27T16:53:26
525,Medical SeaShell,SKU-100525,Main Warehouse,1492,126,Available,2023-03-13T21:26:20
526,He Bisque,SKU-100526,WH-C,1180,102,Low Stock,2023-06-05T15:27:39
527,Such RoyalBlue,SKU-100527,WH-A,1354,339,Low Stock,2023-10-12T20:13:09
528,Congress DeepPink,SKU-100528,Main Warehouse,1914,39,Discontinued,2023-07-11T23:23:17
529,Event Lavender,SKU-100529,WH-C,1225,124,Backordered,2023-01-14T22:04:56
530,Seek LightSlateGray,SKU-100530,WH-A,89,474,Backordered,2024-05-10T09:11:31
531,Opportunity DarkOrchid,SKU-100531,WH-A,772,390,Low Stock,2022-11-28T09:05:43
532,Soon YellowGreen,SKU-100532,WH-A,167,288,Discontinued,2024-05-09T16:33:14
533,Someone Turquoise,SKU-100533,WH-B,262,272,Low Stock,2024-05-06T23:18:23
534,Must GhostWhite,SKU-100534,WH-C,982,73,Low Stock,2024-04-09T13:04:09
535,Easy LightGreen,SKU-100535,WH-A,179,284,Available,2024-11-03T20:21:09
536,Work Tan,SKU-100536,Main Warehouse,1426,308,Discontinued,2025-03-18T01:57:25
537,Yes DarkMagenta,SKU-100537,WH-A,1736,433,Discontinued,2025-03-18T10:10:35
538,Even SaddleBrown,SKU-100538,WH-C,1386,239,Backordered,2025-03-12T19:11:04
539,Visit Linen,SKU-100539,Main Warehouse,1831,155,Discontinued,2025-05-08T17:00:52
540,Particular LemonChiffon,SKU-100540,WH-A,646,92,Low Stock,2024-06-15T23:11:26
541,Open Teal,SKU-100541,WH-A,1004,73,Available,2023-09-26T06:38:41
542,Suddenly SaddleBrown,SKU-100542,WH-C,1118,447,Discontinued,2024-08-30T11:16:14
543,Common Pink,SKU-100543,WH-C,855,192,Available,2024-06-04T00:46:11
544,Rate Chocolate,SKU-100544,WH-A,1926,466,Available,2024-12-16T11:26:54
545,Involve LightGray,SKU-100545,Main Warehouse,157,262,Low Stock,2025-06-12T00:02:18
546,Direction Snow,SKU-100546,WH-C,832,451,Low Stock,2025-10-18T07:57:05
547,Clear IndianRed,SKU-100547,WH-A,835,112,Available,2025-05-08T12:46:11
548,Ask DimGray,SKU-100548,WH-B,1221,246,Backordered,2024-11-15T08:03:25
549,Account LightCoral,SKU-100549,WH-C,918,428,Low Stock,2025-01-23T04:32:35
550,When Navy,SKU-100550,Main Warehouse,211,224,Backordered,2024-02-11T07:28:29
551,Rock MintCream,SKU-100551,Main Warehouse,446,259,Available,2023-12-15T05:04:55
552,Trip DarkMagenta,SKU-100552,WH-A,1175,439,Low Stock,2023-12-17T03:09:23
553,Positive DarkMagenta,SKU-100553,WH-A,802,281,Low Stock,2023-04-09T15:12:48
554,Interest Tan,SKU-100554,WH-A,233,400,Low Stock,2025-05-13T01:36:30
555,Spend SlateBlue,SKU-100555,WH-A,1023,49,Discontinued,2024-09-01T20:17:09
556,Whether Violet,SKU-100556,Main Warehouse,712,106,Low Stock,2023-09-24T18:00:19
557,Another LightCoral,SKU-100557,WH-A,796,123,Low Stock,2022-11-06T15:53:49
558,Everyone MidnightBlue,SKU-100558,Main Warehouse,1886,71,Low Stock,2024-04-22T18:09:28
559,To GreenYellow,SKU-100559,WH-A,962,324,Backordered,2023-05-03T21:45:30
560,Other DarkSeaGreen,SKU-100560,WH-C,1184,28,Available,2025-04-05T02:30:28
561,Challenge SaddleBrown,SKU-100561,WH-C,1411,318,Available,2023-09-28T18:17:01
562,Allow DarkViolet,SKU-100562,WH-B,975,354,Low Stock,2025-05-21T11:43:29
563,Fall MediumSpringGreen,SKU-100563,WH-C,1535,161,Backordered,2024-12-06T23:23:24
564,Office LightSteelBlue,SKU-100564,WH-C,1031,125,Backordered,2025-06-13T19:08:20
565,Effect BlueViolet,SKU-100565,Main Warehouse,1850,430,Low Stock,2025-06-27T23:09:46
566,Face DodgerBlue,SKU-100566,WH-A,313,256,Backordered,2023-02-09T11:26:36
567,Should Orange,SKU-100567,WH-B,1236,333,Low Stock,2024-04-26T05:08:39
568,Owner GoldenRod,SKU-100568,WH-B,1865,174,Backordered,2023-04-12T08:51:01
569,Himself LemonChiffon,SKU-100569,WH-A,896,424,Backordered,2025-05-16T03:09:02
570,Popular Azure,SKU-100570,WH-A,1707,317,Low Stock,2022-12-22T05:13:46
571,Admit DarkBlue,SKU-100571,WH-C,1142,460,Available,2023-04-15T08:22:59
572,Response SeaShell,SKU-100572,WH-C,1704,262,Discontinued,2024-09-28T16:55:58
573,Trouble OliveDrab,SKU-100573,WH-B,1852,488,Available,2024-04-28T19:50:24
574,Answer Purple,SKU-100574,WH-B,1447,106,Discontinued,2023-04-27T18:54:36
575,Second SeaGreen,SKU-100575,WH-A,248,366,Discontinued,2023-12-25T05:35:06
576,Wide Plum,SKU-100576,WH-B,1170,316,Backordered,2025-08-03T20:01:58
577,Color LightGreen,SKU-100577,WH-C,528,60,Low Stock,2023-05-26T23:11:00
578,Statement DarkSeaGreen,SKU-100578,WH-C,651,129,Available,2023-03-12T17:46:29
579,Space Sienna,SKU-100579,WH-C,797,121,Available,2024-03-05T11:30:31
580,Street Brown,SKU-100580,WH-B,17,468,Discontinued,2023-09-19T16:07:27
581,Science BlueViolet,SKU-100581,Main Warehouse,1067,348,Backordered,2023-05-13T17:24:44
582,Director WhiteSmoke,SKU-100582,WH-A,1332,310,Discontinued,2023-12-23T08:06:08
583,Stuff CornflowerBlue,SKU-100583,WH-C,742,461,Discontinued,2023-06-20T23:21:40
584,Movement LightSlateGray,SKU-100584,WH-B,1289,152,Available,2024-03-14T06:21:21
585,There IndianRed,SKU-100585,WH-B,1438,65,Discontinued,2025-11-01T13:57:29
586,Responsibility SandyBrown,SKU-100586,Main Warehouse,1302,407,Low Stock,2023-11-17T18:49:14
587,Reach DarkSlateBlue,SKU-100587,WH-C,1332,494,Available,2024-08-05T00:10:01
588,Degree Silver,SKU-100588,Main Warehouse,820,270,Available,2024-12-08T14:36:02
589,Discussion LightSalmon,SKU-100589,WH-A,1796,115,Low Stock,2023-11-10T09:26:15
590,Animal Gray,SKU-100590,Main Warehouse,393,488,Discontinued,2024-04-08T22:08:07
591,Final LightSalmon,SKU-100591,Main Warehouse,58,254,Low Stock,2023-12-05T23:30:10
592,Degree Snow,SKU-100592,WH-A,980,346,Low Stock,2024-12-09T18:53:51
593,Through MediumSpringGreen,SKU-100593,WH-C,1996,15,Low Stock,2024-05-16T03:54:34
594,Fear Gray,SKU-100594,WH-C,271,343,Low Stock,2024-12-06T13:21:41
595,Adult Orchid,SKU-100595,WH-B,1505,445,Backordered,2025-04-10T07:01:19
596,Sometimes MistyRose,SKU-100596,WH-A,1409,325,Low Stock,2025-07-16T07:18:23
597,Time Linen,SKU-100597,WH-A,843,354,Low Stock,2024-05-01T09:23:17
598,Two MediumSpringGreen,SKU-100598,WH-B,1502,130,Discontinued,2025-05-13T20:04:52
599,Leave Coral,SKU-100599,WH-C,631,471,Available,2023-05-06T07:20:20
600,Everything Linen,SKU-100600,WH-A,1825,288,Available,2025-06-29T14:29:53
601,Year MistyRose,SKU-100601,WH-C,594,147,Low Stock,2022-11-20T19:00:39
602,Accept OrangeRed,SKU-100602,WH-C,1558,293,Backordered,2022-11-06T09:29:07
603,Argue Blue,SKU-100603,WH-B,1370,352,Available,2023-07-21T00:43:56
