id,shipment_id,date,carrier,destination,status,created_at
260,SHP-1260,2021-09-04,FedEx,"Charleston, Djibouti",Cancelled,2024-07-20T17:59:58
261,SHP-1261,2023-11-04,FedEx,"Debbieberg, United Arab Emirates",Cancelled,2021-07-23T10:03:38
262,SHP-1262,2024-12-26,Maersk,"Tristanton, Aruba",Delivered,2023-03-25T00:04:22
263,SHP-1263,2024-05-22,DHL,"West Danielle, Dominica",Delivered,2022-06-02T11:16:33
264,SHP-1264,2025-10-15,FedEx,"Gordonfort, Saint Kitts and Nevis",Cancelled,2025-09-12T15:20:23
265,SHP-1265,2022-06-06,UPS,"East Stevenshire, Myanmar",Pending,2025-04-07T00:50:42
266,SHP-1266,2022-12-10,FedEx,"South Dan, Jamaica",Pending,2024-10-04T06:58:14
267,SHP-1267,2022-09-20,Local Carrier,"Castroside, Jordan",Delivered,2021-09-15T03:37:44
268,SHP-1268,2023-09-24,FedEx,"North Kimberlyville, Martinique",In Transit,2021-12-15T17:09:29
269,SHP-1269,2023-07-05,Maersk,"Millerhaven, Brunei Darussalam",In Transit,2023-11-16T06:06:42
270,SHP-1270,2023-08-13,Local Carrier,"Calebville, Rwanda",Pending,2024-03-18T18:44:50
271,SHP-1271,2021-05-05,DHL,"Fordmouth, Bolivia",Cancelled,2024-08-10T13:14:48
272,SHP-1272,2023-12-19,FedEx,"Nathanfurt, Nicaragua",Pending,2025-01-13T06:23:39
273,SHP-1273,2024-08-08,DHL,"Johnsonbury, Mexico",Cancelled,2022-03-23T18:35:35
274,SHP-1274,2021-04-24,Maersk,"North Jody, Bhutan",Pending,2025-07-18T05:24:10
275,SHP-1275,2022-01-17,FedEx,"Johnview, Guatemala",Delivered,2025-08-01T14:52:04
276,SHP-1276,2025-09-07,UPS,"Nicolefort, Paraguay",Cancelled,2024-12-01T06:51:38
277,SHP-1277,2025-05-29,Local Carrier,"South Adrian, Cocos (Keeling) Islands",Cancelled,2023-10-01T11:02:05
278,SHP-1278,2024-01-11,UPS,"North Dawnfurt, Peru",In Transit,2022-03-09T13:13:01
279,SHP-1279,2020-11-03,FedEx,"North Josephfurt, Hungary",Pending,2022-08-16T07:12:53
280,SHP-1280,2024-10-02,Maersk,"Port Emilystad, American Samoa",Delivered,2023-09-12T15:40:14
281,SHP-1281,2023-06-09,Local Carrier,"South Sarahfurt, Turkmenistan",In Transit,2025-02-09T16:00:49
282,SHP-1282,2023-05-13,DHL,"North Jefferyfort, Monaco",Pending,2025-05-23T16:10:50
283,SHP-1283,2021-02-23,FedEx,"West Bruceton, Finland",Cancelled,2025-02-02T03:45:16
284,SHP-1284,2024-04-11,Local Carrier,"Annburgh, Antarctica (the territory South of 60 deg S)",Delivered,2022-03-17T18:16:58
285,SHP-1285,2024-08-24,FedEx,"Dustinmouth, Lithuania",Delivered,2025-04-25T10:30:17
286,SHP-1286,2021-02-25,Local Carrier,"North Ashleyhaven, Myanmar",Cancelled,2024-03-17T16:44:54
287,SHP-1287,2023-07-31,FedEx,"Chandlerberg, Belarus",Delivered,2021-12-04T17:34:29
288,SHP-1288,2021-02-01,UPS,"Danafort, Uruguay",Delivered,2022-06-27T16:37:45
289,SHP-1289,2024-08-04,FedEx,"New Benjaminshire, Italy",Pending,2021-11-22T16:27:06
290,SHP-1290,2025-05-25,Local Carrier,"New Danielleshire, Cyprus",Delivered,2024-08-13T09:19:22
291,SHP-1291,2020-12-10,Maersk,"Robertbury, Malaysia",Delivered,2024-10-10T21:11:42
292,SHP-1292,2022-10-20,Local Carrier,"Greenport, Mauritius",Delivered,2021-07-05T00:14:39
293,SHP-1293,2024-08-27,FedEx,"South Tracymouth, Grenada",Cancelled,2022-09-05T09:05:52
294,SHP-1294,2025-04-26,FedEx,"West Gwendolyn, Niger",Delivered,2025-06-30T13:44:44
295,SHP-1295,2022-09-10,UPS,"Lake Anthonychester, French Southern Territories",Delivered,2020-11-07T19:40:17
296,SHP-1296,2021-04-30,DHL,"New Travis, Brunei Darussalam",In Transit,2024-08-13T13:21:17
297,SHP-1297,2024-09-15,FedEx,"North Jessicaburgh, Mozambique",Delivered,2024-10-26T23:05:36
298,SHP-1298,2024-01-28,Local Carrier,"South Juliaport, Thailand",In Transit,2024-06-24T09:42:47
299,SHP-1299,2022-11-10,DHL,"Michaelborough, Mali",Pending,2023-01-03T02:07:47
300,SHP-1300,2022-06-03,FedEx,"Taylorshire, Jamaica",Delivered,2023-11-17T06:05:55
301,SHP-1301,2022-03-14,UPS,"Leblancmouth, Turkey",In Transit,2025-05-15T20:14:44
302,SHP-1302,2021-10-14,FedEx,"East Amy, Turkey",Cancelled,2025-01-25T08:43:20
303,SHP-1303,2023-12-11,DHL,"Perryburgh, South Georgia and the South Sandwich Islands",Pending,2021-10-04T14:23:44
304,SHP-1304,2023-01-07,FedEx,"Sloanton, Fiji",Delivered,2023-09-07T21:50:45
305,SHP-1305,2021-03-03,FedEx,"Santiagofurt, Jamaica",Delivered,2022-08-30T22:23:17
306,SHP-1306,2024-06-08,DHL,"Reedville, Moldova",Delivered,2024-07-17T22:56:28
307,SHP-1307,2022-09-01,Maersk,"New Thomasbury, Oman",Pending,2020-12-20T13:47:03
308,SHP-1308,2021-11-13,UPS,"New Ricardo, Dominica",Cancelled,2024-12-26T10:17:17
309,SHP-1309,2023-02-01,DHL,"Jamesfort, Italy",Delivered,2024-06-30T09:35:40
310,SHP-1310,2022-02-20,UPS,"Lawsonhaven, Netherlands Antilles",Cancelled,2024-07-05T08:59:31
311,SHP-1311,2024-08-30,Maersk,"East Christine, Germany",In Transit,2021-01-07T20:01:37
312,SHP-1312,2023-03-02,UPS,"Angelaside, Saint Barthelemy",Cancelled,2024-02-02T21:43:01
313,SHP-1313,2024-02-07,FedEx,"West Jo, Christmas Island",Cancelled,2021-05-18T02:23:57
314,SHP-1314,2022-06-28,DHL,"Brandonstad, Estonia",Pending,2023-05-14T16:07:31
315,SHP-1315,2023-10-20,DHL,"Michaelland, Georgia",Cancelled,2021-02-05T01:49:38
316,SHP-1316,2025-04-15,Local Carrier,"Port Ryan, Mauritania",Cancelled,2023-03-29T15:33:35
317,SHP-1317,2022-06-23,Maersk,"Martinezside, Moldova",In Transit,2021-11-20T10:24:59
318,SHP-1318,2021-06-29,Local Carrier,"Barryshire, Egypt",Pending,2023-08-04T19:30:24
319,SHP-1319,2021-01-29,UPS,"West Vicki, Benin",Pending,2023-01-12T18:14:32
320,SHP-1320,2024-10-09,UPS,"Robinsonport, Belgium",Pending,2025-10-08T21:09:46
321,SHP-1321,2021-03-07,FedEx,"South Elizabeth, Cayman Islands",In Transit,2025-05-24T09:34:12
322,SHP-1322,2021-02-19,UPS,"Joseberg, South Africa",Cancelled,2020-11-23T10:11:42
323,SHP-1323,2024-07-01,Maersk,"West Erin, Brunei Darussalam",Delivered,2021-10-17T07:58:54
324,SHP-1324,2023-02-13,Local Carrier,"North Vickiton, Niue",Delivered,2023-01-16T23:20:11
325,SHP-1325,2022-11-08,Local Carrier,"East Amy, Lithuania",Pending,2023-10-01T08:31:55
326,SHP-1326,2022-08-28,DHL,"New Jenniferfurt, Malta",Pending,2025-10-19T05:53:54
327,SHP-1327,2023-08-30,FedEx,"Jonesstad, French Southern Territories",Delivered,2025-07-27T16:33:08
328,SHP-1328,2021-06-22,Local Carrier,"West Robert, Cayman Islands",Delivered,2025-07-11T21:26:11
329,SHP-1329,2020-11-04,Maersk,"Lake Carlview, Canada",Cancelled,2023-09-01T05:01:26
330,SHP-1330,2021-10-30,Maersk,"Jamieberg, Ethiopia",Pending,2023-03-14T15:05:53
331,SHP-1331,2022-03-29,Maersk,"Samuelberg, Haiti",Delivered,2024-03-31T16:07:10
332,SHP-1332,2021-12-22,UPS,"Hansonside, Liechtenstein",Delivered,2020-11-09T12:27:42
333,SHP-1333,2021-08-05,Maersk,"New Kyleport, Malawi",Delivered,2022-03-22T17:31:37
334,SHP-1334,2021-03-10,Maersk,"Port Cynthia, South Africa",In Transit,2020-11-26T21:30:43
335,SHP-1335,2023-03-31,FedEx,"West Elizabeth, Reunion",Cancelled,2021-07-18T11:50:54
336,SHP-1336,2022-07-06,Maersk,"Selenastad, Congo",Cancelled,2024-03-21T20:28:40
337,SHP-1337,2024-10-17,Maersk,"Amandaberg, Sierra Leone",Delivered,2022-08-26T12:11:54
338,SHP-1338,2024-10-25,FedEx,"Port Matthew, Tunisia",In Transit,2024-01-23T00:49:49
339,SHP-1339,2021-10-25,UPS,"Brendanland, Kuwait",In Transit,2025-05-17T01:35:34
340,SHP-1340,2022-04-16,FedEx,"Michelleburgh, Jamaica",Delivered,2023-08-08T12:56:39
341,SHP-1341,2021-08-15,DHL,"West Jacqueline, Norfolk Island",Pending,2021-04-06T06:09:43
342,SHP-1342,2023-03-23,Maersk,"Higginsport, Argentina",Cancelled,2025-04-08T22:53:56
343,SHP-1343,2022-08-25,UPS,"New Elizabethland, Pitcairn Islands",Pending,2021-07-08T12:20:58
344,SHP-1344,2022-07-15,DHL,"West Jennifer, Tuvalu",In Transit,2021-11-23T15:40:26
345,SHP-1345,2021-09-23,FedEx,"Ashleyburgh, Philippines",Pending,2021-11-04T09:14:51
346,SHP-1346,2024-08-06,DHL,"Matthewport, Bulgaria",Cancelled,2021-01-15T09:10:59
347,SHP-1347,2023-09-23,Local Carrier,"Lake Heidichester, Serbia",Cancelled,2025-06-14T18:03:46
348,SHP-1348,2023-05-01,Maersk,"South Franklinchester, Cuba",Cancelled,2023-10-31T22:08:39
349,SHP-1349,2024-01-15,DHL,"Lake Williamchester, Bermuda",Cancelled,2021-11-10T09:43:14
350,SHP-1350,2025-05-07,Local Carrier,"South Chelseaberg, Spain",Delivered,2021-10-04T02:12:17
351,SHP-1351,2020-11-10,UPS,"West Mariachester, French Southern Territories",Cancelled,2023-03-16T19:41:51
352,SHP-1352,2021-03-10,Local Carrier,"North Renee, New Zealand",Cancelled,2023-03-10T21:05:51
353,SHP-1353,2024-01-12,DHL,"Lyonsfurt, Nigeria",Pending,2025-04-12T15:28:15
354,SHP-1354,2024-03-05,Maersk,"North Janiceton, Ethiopia",Cancelled,2020-11-10T07:31:10
355,SHP-1355,2025-02-03,FedEx,"West Chrismouth, Guyana",Delivered,2023-03-21T22:24:15
356,SHP-1356,2023-01-17,Maersk,"East Jacob, Northern Mariana Islands",Pending,2021-08-27T05:05:36
357,SHP-1357,2023-01-07,Maersk,"East Justin, Suriname",In Transit,2020-12-21T04:57:20
358,SHP-1358,2024-11-25,DHL,"West David, Micronesia",Delivered,2023-03-14T23:07:12
359,SHP-1359,2021-05-22,Maersk,"Katherinestad, Congo",Pending,2021-01-11T10:01:22
360,SHP-1360,2024-11-28,FedEx,"North Maria, Cyprus",Pending,2021-09-11T04:32:20
361,SHP-1361,2024-01-08,FedEx,"Vargasland, Suriname",Cancelled,2020-11-21T06:44:02
362,SHP-1362,2022-08-06,Local Carrier,"Jonesside, China",Delivered,2023-02-17T22:18:47
363,SHP-1363,2022-09-17,FedEx,"Hamiltonport, Norway",In Transit,2021-11-08T07:13:42
364,SHP-1364,2022-06-17,UPS,"Port Jessicachester, Bahrain",Pending,2021-08-29T07:59:01
365,SHP-1365,2024-09-06,Maersk,"Port Joe, Bermuda",Cancelled,2023-03-02T01:22:31
366,SHP-1366,2024-02-10,FedEx,"Port Teresaville, Somalia",Cancelled,2024-01-06T08:23:20
367,SHP-1367,2025-01-24,UPS,"Ashleyview, Brazil",Delivered,2024-10-17T07:35:44
368,SHP-1368,2024-06-06,Maersk,"Port Lisachester, Haiti",Cancelled,2023-03-28T06:56:02
369,SHP-1369,2020-11-13,FedEx,"Alexanderland, Guam",Pending,2023-06-30T07:09:11
370,SHP-1370,2023-01-04,Maersk,"East Melanie, Congo",Pending,2025-10-04T14:40:38
371,SHP-1371,2022-04-10,Maersk,"East Erin, Senegal",Pending,2021-08-10T01:09:16
372,SHP-1372,2024-07-26,DHL,"Kathrynfort, Guernsey",Delivered,2022-05-11T14:43:26
373,SHP-1373,2023-03-29,Maersk,"South Brandonside, Cameroon",Pending,2024-09-21T09:29:33
374,SHP-1374,2024-07-05,UPS,"Port Valeriestad, Senegal",Pending,2023-02-04T08:43:17
375,SHP-1375,2020-12-05,Local Carrier,"South Michaelmouth, Nauru",Pending,2021-10-10T05:43:11
376,SHP-1376,2022-03-22,Local Carrier,"West Andrew, Pitcairn Islands",Pending,2023-06-11T17:02:33
377,SHP-1377,2023-02-26,FedEx,"Johnsonview, French Southern Territories",In Transit,2022-01-02T02:56:19
378,SHP-1378,2025-10-06,Local Carrier,"Huffmanstad, Marshall Islands",In Transit,2021-05-08T12:38:41
379,SHP-1379,2025-06-19,Maersk,"Troyhaven, Christmas Island",Cancelled,2024-05-22T03:31:23
380,SHP-1380,2025-02-25,FedEx,"Andersonburgh, Montenegro",In Transit,2023-11-05T19:35:45
381,SHP-1381,2025-06-04,DHL,"East Danielbury, New Zealand",Delivered,2023-09-24T04:29:03
382,SHP-1382,2025-08-22,DHL,"North Kennethhaven, Sri Lanka",In Transit,2024-09-01T05:30:41
383,SHP-1383,2024-01-31,FedEx,"Drewborough, French Polynesia",Cancelled,2024-08-24T20:17:05
384,SHP-1384,2023-11-23,FedEx,"Jenniferfort, Norway",Cancelled,2022-05-04T20:57:34
385,SHP-1385,2022-10-18,Local Carrier,"Port Joelville, Reunion",Delivered,2025-05-28T12:27:13
386,SHP-1386,2021-02-06,FedEx,"South Russell, Turkey",Pending,2025-03-07T20:58:45
387,SHP-1387,2024-08-12,Local Carrier,"New Micheleport, India",Cancelled,2024-05-07T07:35:28
388,SHP-1388,2023-02-19,FedEx,"Estradafort, Svalbard & Jan Mayen Islands",Delivered,2021-11-07T04:47:37
389,SHP-1389,2022-07-20,FedEx,"Port Sherryland, Belize",Delivered,2023-05-11T09:02:13
390,SHP-1390,2025-03-28,UPS,"Port Johnville, New Zealand",Cancelled,2022-04-28T21:06:34
391,SHP-1391,2024-01-13,UPS,"East Timothyberg, San Marino",Delivered,2025-01-02T03:39:54
392,SHP-1392,2023-12-26,Maersk,"Barkerhaven, Cyprus",In Transit,2025-10-12T09:05:44
393,SHP-1393,2021-08-19,Local Carrier,"Mathisbury, Central African Republic",Cancelled,2024-12-06T10:27:00
394,SHP-1394,2024-12-27,DHL,"Andersonburgh, Guinea-Bissau",In Transit,2023-03-24T20:31:47
395,SHP-1395,2024-10-06,Maersk,"Port Kimberlyville, Qatar",In Transit,2021-03-18T08:13:13
396,SHP-1396,2024-05-21,DHL,"Matthewborough, Slovenia",In Transit,2020-12-19T05:46:04
397,SHP-1397,2023-05-13,UPS,"Kellerfort, Algeria",Cancelled,2024-07-23T15:06:37
398,SHP-1398,2024-07-18,Local Carrier,"Kaufmanmouth, Maldives",In Transit,2022-11-22T03:59:31
399,SHP-1399,2022-11-05,Local Carrier,"North John, Kazakhstan",Delivered,2023-12-05T14:21:32
400,SHP-1400,2022-09-10,FedEx,"Michaelberg, Greece",Cancelled,2023-09-08T03:28:03
401,SHP-1401,2024-08-08,UPS,"Marytown, Nepal",Pending,2022-12-12T20:25:35
402,SHP-1402,2024-03-22,Local Carrier,"South Heidi, Philippines",Delivered,2023-02-25T14:02:07
403,SHP-1403,2020-11-30,Local Carrier,"East Michaelland, Wallis and Futuna",Pending,2023-05-29T12:48:11
404,SHP-1404,2022-10-29,Maersk,"New John, Bahrain",Pending,2021-08-06T18:16:28
405,SHP-1405,2021-03-14,UPS,"West Juliefort, British Virgin Islands",In Transit,2021-02-08T23:34:49
406,SHP-1406,2022-08-05,Local Carrier,"North Adamton, British Virgin Islands",Cancelled,2025-02-19T08:26:02
407,SHP-1407,2021-04-18,DHL,"Jamesberg, Greenland",In Transit,2021-02-24T20:07:00
408,SHP-1408,2025-05-05,Maersk,"West Melissaville, Bulgaria",Delivered,2021-02-10T19:30:12
409,SHP-1409,2025-05-09,Local Carrier,"New Anthonyfort, Kazakhstan",In Transit,2024-03-15T02:54:46
410,SHP-1410,2021-04-08,Local Carrier,"New Michael, Heard Island and McDonald Islands",Pending,2023-12-26T03:55:37
411,SHP-1411,2023-11-11,UPS,"New Christopherhaven, Iceland",In Transit,2022-01-02T02:36:13
412,SHP-1412,2022-04-22,DHL,"East Brittany, Venezuela",Pending,2023-05-06T18:03:42
413,SHP-1413,2024-06-17,UPS,"Sullivanhaven, Lao People's Democratic Republic",Cancelled,2023-05-28T16:29:36
414,SHP-1414,2025-10-22,FedEx,"Mataland, Guinea",Pending,2022-12-27T19:50:31
415,SHP-1415,2021-01-30,Local Carrier,"Trevorborough, Lesotho",Cancelled,2023-05-31T13:42:23
416,SHP-1416,2025-07-07,Maersk,"Jaredland, Christmas Island",Pending,2020-12-16T02:30:59
417,SHP-1417,2025-03-21,UPS,"Lake Jamesview, Malaysia",Cancelled,2022-10-14T02:53:34
418,SHP-1418,2022-12-03,FedEx,"New Gabriella, New Caledonia",Delivered,2022-06-08T21:14:55
419,SHP-1419,2021-07-04,Maersk,"Tylerland, Dominica",Cancelled,2024-08-07T03:15:29
420,SHP-1420,2023-04-17,Maersk,"North Isabellabury, Gambia",In Transit,2022-03-23T17:05:24
421,SHP-1421,2022-03-26,UPS,"New Jillian, Maldives",Delivered,2024-05-12T00:06:32
422,SHP-1422,2020-11-18,Maersk,"Port Davidland, Uzbekistan",In Transit,2024-04-27T02:12:10
423,SHP-1423,2021-03-27,UPS,"East Alexanderhaven, Seychelles",Cancelled,2024-11-02T08:15:25
424,SHP-1424,2023-03-22,Local Carrier,"Lake Laura, Brazil",Pending,2025-03-19T17:12:13
425,SHP-1425,2022-10-05,DHL,"Hornfurt, Kyrgyz Republic",Delivered,2021-12-04T22:44:09
426,SHP-1426,2023-12-09,Local Carrier,"Pamelaside, Belgium",Pending,2023-06-01T22:14:38
427,SHP-1427,2025-08-05,Local Carrier,"North Benjaminburgh, Namibia",Cancelled,2025-06-13T19:21:37
428,SHP-1428,2021-09-16,DHL,"Kelseyhaven, Argentina",Delivered,2022-05-05T15:35:44
429,SHP-1429,2025-10-31,Local Carrier,"West Davidport, Guyana",Pending,2024-01-16T16:34:14
430,SHP-1430,2022-03-07,FedEx,"New Ginamouth, Iceland",Pending,2022-01-15T03:39:32
431,SHP-1431,2023-04-09,UPS,"Lake Kent, Angola",In Transit,2023-03-16T06:57:59
432,SHP-1432,2023-10-10,Maersk,"West Theresa, Tuvalu",Cancelled,2024-05-14T15:39:32
433,SHP-1433,2021-09-29,Maersk,"Port Ericfort, United States of America",Pending,2025-02-18T12:04:11
434,SHP-1434,2025-09-05,Maersk,"Phillipstad, Denmark",Delivered,2025-07-12T05:00:15
435,SHP-1435,2023-08-11,Maersk,"New Jessicaberg, Maldives",In Transit,2021-04-20T17:42:02
436,SHP-1436,2025-08-02,Local Carrier,"Port Ryantown, Costa Rica",Delivered,2023-06-11T17:38:23
437,SHP-1437,2024-07-29,UPS,"Nataliechester, Finland",In Transit,2022-06-04T02:51:53
438,SHP-1438,2025-10-01,FedEx,"East Marvinstad, Mozambique",Delivered,2024-07-31T11:21:30
439,SHP-1439,2022-11-18,DHL,"Ambertown, Congo",Cancelled,2022-05-05T19:30:36
440,SHP-1440,2021-07-11,UPS,"Taylorstad, Saint Pierre and Miquelon",Cancelled,2025-09-22T10:15:41
441,SHP-1441,2025-01-02,Maersk,"Barbaraborough, Rwanda",Delivered,2022-07-18T13:31:29
442,SHP-1442,2021-01-30,UPS,"West Hector, Mongolia",Delivered,2021-06-06T17:43:29
443,SHP-1443,2020-12-21,UPS,"South Joshua, Mali",Delivered,2024-11-26T04:02:14
444,SHP-1444,2021-09-18,UPS,"Port Elizabethhaven, Saint Kitts and Nevis",Pending,2023-11-27T00:28:18
445,SHP-1445,2024-04-23,Maersk,"Lake Richardport, Zambia",Cancelled,2024-02-19T00:32:38
446,SHP-1446,2024-03-31,Maersk,"Harrishaven, Mauritania",Pending,2021-11-14T07:02:14
447,SHP-1447,2021-07-12,FedEx,"South Julie, Christmas Island",In Transit,2021-11-30T02:38:38
448,SHP-1448,2020-11-23,FedEx,"Maxwellview, Guernsey",In Transit,2022-07-27T05:18:09
449,SHP-1449,2022-01-15,UPS,"Josephville, Wallis and Futuna",Cancelled,2021-03-14T21:20:49
450,SHP-1450,2025-02-13,DHL,"Morrisstad, Kiribati",Delivered,2023-02-22T22:01:37
451,SHP-1451,2022-12-02,Maersk,"North Anna, Antigua and Barbuda",Cancelled,2024-06-18T07:43:44
452,SHP-1452,2021-01-06,DHL,"South Davidbury, Taiwan",In Transit,2025-04-02T19:48:39
453,SHP-1453,2021-01-13,Maersk,"Davishaven, Faroe Islands",In Transit,2024-08-13T00:35:31
454,SHP-1454,2021-11-08,FedEx,"South Brandonstad, Gambia",Pending,2022-05-05T09:52:34
455,SHP-1455,2022-09-30,UPS,"East Kelseymouth, Poland",Cancelled,2023-02-05T16:18:00
456,SHP-1456,2022-09-20,Maersk,"South Matthew, Singapore",Pending,2022-09-24T01:09:10
457,SHP-1457,2021-08-21,Local Carrier,"Rodriguezland, Guernsey",Cancelled,2022-08-20T05:42:31
458,SHP-1458,2024-09-05,DHL,"West Lisafort, Zimbabwe",Pending,2023-04-06T14:17:59
459,SHP-1459,2022-01-31,Maersk,"Johnsonfurt, Guadeloupe",In Transit,2023-08-03T17:19:20
460,SHP-1460,2021-09-08,FedEx,"Lake Andreamouth, French Guiana",Cancelled,2024-12-19T03:40:27
461,SHP-1461,2021-07-25,Local Carrier,"Lisashire, Greenland",Pending,2022-02-12T07:38:22
462,SHP-1462,2024-05-04,Local Carrier,"Annabury, Saint Helena",Pending,2022-09-27T00:37:36
463,SHP-1463,2021-08-14,Local Carrier,"Reyesfort, Papua New Guinea",Cancelled,2023-05-25T16:05:55
464,SHP-1464,2021-05-23,Maersk,"Christinaberg, French Southern Territories",In Transit,2024-05-04T09:47:43
465,SHP-1465,2023-04-25,DHL,"Brownville, Cambodia",Cancelled,2022-08-15T11:20:35
466,SHP-1466,2022-12-09,DHL,"Hurstchester, Christmas Island",Delivered,2021-02-25T12:29:02
467,SHP-1467,2021-08-03,FedEx,"Hudsonhaven, Australia",In Transit,2021-09-16T16:28:43
468,SHP-1468,2022-08-30,UPS,"West Lisa, Turkey",In Transit,2024-03-11T01:39:49
469,SHP-1469,2025-02-02,FedEx,"Gutierrezmouth, United Arab Emirates",Cancelled,2022-12-24T14:46:45
470,SHP-1470,2025-04-11,UPS,"North Alicia, Suriname",Pending,2025-03-21T23:01:49
471,SHP-1471,2022-10-22,Maersk,"West Jeffreyville, Lao People's Democratic Republic",Cancelled,2025-04-10T14:52:33
472,SHP-1472,2024-07-04,Maersk,"North Ronald, Honduras",In Transit,2021-10-05T19:23:17
473,SHP-1473,2022-04-05,Maersk,"Petersville, Somalia",In Transit,2021-07-17T20:46:55
474,SHP-1474,2022-06-30,DHL,"Ayersmouth, Dominica",Pending,2021-11-01T18:57:38
475,SHP-1475,2024-08-15,DHL,"Lake James, Singapore",Pending,2023-09-27T06:47:18
476,SHP-1476,2021-02-23,Maersk,"Lake Travis, El Salvador",Delivered,2024-09-03T01:37:38
477,SHP-1477,2024-07-18,FedEx,"Courtneytown, Bosnia and Herzegovina",Delivered,2023-03-25T23:34:02
478,SHP-1478,2025-07-17,UPS,"Michaelburgh, Brazil",Delivered,2024-07-16T12:44:11
479,SHP-1479,2024-07-05,Maersk,"East Tinaburgh, Croatia",Cancelled,2021-11-26T01:55:58
480,SHP-1480,2024-04-28,Local Carrier,"Petersfurt, Poland",In Transit,2021-12-13T15:32:41
481,SHP-1481,2022-02-16,DHL,"South Davidland, Costa Rica",Delivered,2021-08-06T00:13:23
482,SHP-1482,2024-06-04,Maersk,"Saraburgh, Antigua and Barbuda",Pending,2024-05-29T04:09:08
483,SHP-1483,2021-06-24,UPS,"Garciatown, Jordan",In Transit,2022-07-29T13:00:48
484,SHP-1484,2021-03-24,DHL,"Katietown, Liechtenstein",Delivered,2024-05-04T16:02:22
485,SHP-1485,2022-10-05,Maersk,"Angelicaside, New Caledonia",Pending,2025-08-07T06:10:25
486,SHP-1486,2022-12-03,Local Carrier,"East Kenneth, Papua New Guinea",Delivered,2025-07-31T14:26:38
487,SHP-1487,2024-08-08,Maersk,"Andreport, Cuba",In Transit,2023-10-21T02:32:19
488,SHP-1488,2024-11-15,DHL,"West Aaronfort, Djibouti",In Transit,2021-10-22T00:50:20
489,SHP-1489,2021-02-04,DHL,"Lewisview, Solomon Islands",Delivered,2021-09-05T23:15:31
490,SHP-1490,2023-05-28,UPS,"Munozberg, Puerto Rico",Pending,2021-12-14T16:30:56
491,SHP-1491,2023-01-03,Local Carrier,"Jennatown, Bhutan",In Transit,2024-03-02T22:52:29
492,SHP-1492,2024-11-12,Maersk,"Sarahville, China",In Transit,2021-12-27T02:20:13
493,SHP-1493,2023-02-19,UPS,"Ramirezbury, Nauru",In Transit,2023-01-19T06:29:40
494,SHP-1494,2021-12-19,Local Carrier,"Christopherport, Cyprus",In Transit,2022-03-07T09:49:49
495,SHP-1495,2021-04-16,Maersk,"Taylorborough, Falkland Islands (Malvinas)",Pending,2023-10-20T05:37:42
496,SHP-1496,2023-08-04,Maersk,"Harrisside, Kiribati",In Transit,2023-04-06T11:57:21
497,SHP-1497,2021-12-10,FedEx,"South Kaylaton, Armenia",Cancelled,2023-10-19T13:37:11
498,SHP-1498,2024-05-31,UPS,"Mortonfort, Bulgaria",In Transit,2023-06-25T23:57:09
499,SHP-1499,2025-07-29,UPS,"South Karenborough, New Zealand",Pending,2022-12-07T04:05:04
500,SHP-1500,2025-01-09,DHL,"Padillastad, Iraq",In Transit,2023-06-14T09:09:04
501,SHP-1501,2021-06-12,Maersk,"North Evan, Ecuador",Delivered,2025-03-05T16:14:44
502,SHP-1502,2024-08-19,Maersk,"Port Cherylhaven, Kuwait",Cancelled,2020-11-28T09:28:58
503,SHP-1503,2022-06-30,Maersk,"Karenhaven, Pitcairn Islands",Cancelled,2022-08-09T10:42:30
504,SHP-1504,2024-11-12,DHL,"North Kaylafurt, Suriname",Cancelled,2023-08-27T01:27:35
505,SHP-1505,2023-04-16,Local Carrier,"East Jessicamouth, Saint Kitts and Nevis",In Transit,2022-11-18T12:44:39
506,SHP-1506,2021-04-04,Local Carrier,"East Richard, Sudan",In Transit,2021-08-24T05:07:25
507,SHP-1507,2023-05-27,Maersk,"Lynchshire, French Polynesia",In Transit,2023-09-15T05:14:14
508,SHP-1508,2023-10-02,UPS,"Veronicaview, Antigua and Barbuda",Delivered,2025-03-07T01:13:55
509,SHP-1509,2023-03-18,Maersk,"New Christopherfort, Afghanistan",Delivered,2020-12-31T21:38:11
510,SHP-1510,2021-10-05,FedEx,"North Ian, Iran",Pending,2021-04-22T08:25:45
511,SHP-1511,2024-11-19,DHL,"West Jordan, Saint Vincent and the Grenadines",Cancelled,2022-11-22T09:47:38
512,SHP-1512,2021-11-19,DHL,"North Christopher, South Georgia and the South Sandwich Islands",Cancelled,2024-02-01T05:01:46
513,SHP-1513,2025-03-29,DHL,"Shawside, Uzbekistan",Delivered,2023-07-04T19:47:40
514,SHP-1514,2021-02-05,Maersk,"West Annaland, Jordan",Delivered,2020-12-11T20:14:30
515,SHP-1515,2024-06-26,FedEx,"South Alan, Kenya",Delivered,2024-09-27T02:16:58
516,SHP-1516,2024-10-30,DHL,"Lake Felicia, Mexico",Delivered,2022-04-14T16:21:58
517,SHP-1517,2022-04-15,UPS,"Lake Kylefort, Anguilla",Pending,2023-04-25T03:14:40
518,SHP-1518,2023-10-15,FedEx,"Danaport, Eritrea",Delivered,2021-03-24T21:54:57
519,SHP-1519,2025-05-12,DHL,"Amandamouth, Liberia",Pending,2025-08-05T12:27:31
520,SHP-1520,2022-04-05,DHL,"Lopezmouth, Tuvalu",In Transit,2022-10-21T05:45:24
